Sku,shipping_operation,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
EG1202-S-GR,Free,0,0,0,0,0,0,0,0
EG1202-S-TP,Free,0,0,0,0,0,0,0,0
HF1004-K-CR,Free,0,0,0,0,0,0,0,0
SC1004-OL,Free,0,0,0,0,0,0,0,0
UL0102,Free,0,0,0,0,0,0,0,0
BS1013,Free,0,0,0,0,0,0,0,0
SC1003-TL,Free,0,0,0,0,0,0,0,0
SC1004-TL,Free,0,0,0,0,0,0,0,0
CC1021-1100,Free,0,0,0,0,0,0,0,0
CC1021-1200,Free,0,0,0,0,0,0,0,0
CC1021-1400,Free,0,0,0,0,0,0,0,0
CC1021-1500,Free,0,0,0,0,0,0,0,0
CC1023-760,Free,0,0,0,0,0,0,0,0
CC1024-760,Free,0,0,0,0,0,0,0,0
CC1024-900,Free,0,0,0,0,0,0,0,0
UM3002-3-BL,Free,0,0,0,0,0,0,0,0
UM3002-4-BA,Free,0,0,0,0,0,0,0,0
UM3002-6-BA,Free,0,0,0,0,0,0,0,0
SC1002-WI,Free,0,0,0,0,0,0,0,0
SC1003-BR,Free,0,0,0,0,0,0,0,0
SC1003-OL,Free,0,0,0,0,0,0,0,0
SC1003-WI,Free,0,0,0,0,0,0,0,0
SC1004-BR,Free,0,0,0,0,0,0,0,0
SC1004-WI,Free,0,0,0,0,0,0,0,0
COMDESK1002-BK,Free,0,0,0,0,0,0,0,0
COMDESK-BK,Free,0,0,0,0,0,0,0,0
EC0908-BK,Free,0,0,0,0,0,0,0,0
ED0913-2-BUR,Free,0,0,0,0,0,0,0,0
ED0913-2-KH,Free,0,0,0,0,0,0,0,0
ED0913-2-NV,Free,0,0,0,0,0,0,0,0
UL0103-WH,Free,0,0,0,0,0,0,0,0
UL0104-WH,Free,0,0,0,0,0,0,0,0
BR1001,Free,0,0,0,0,0,0,0,0
BR1001-2,Free,0,0,0,0,0,0,0,0
BR1003,Free,0,0,0,0,0,0,0,0
BR1005-F-GR,Free,0,0,0,0,0,0,0,0
BR1005-F-GRx2,Free,0,0,0,0,0,0,0,0
BR1005-L-CRx2,Free,0,0,0,0,0,0,0,0
MP1002-D,Free,0,0,0,0,0,0,0,0
MP1002-K,Free,0,0,0,0,0,0,0,0
MP1002-Q,Free,0,0,0,0,0,0,0,0
MP1002-S,Free,0,0,0,0,0,0,0,0
MP1002-SK,Free,0,0,0,0,0,0,0,0
MP1003-D,Free,0,0,0,0,0,0,0,0
MP1003-K,Free,0,0,0,0,0,0,0,0
MP1003-KS,Free,0,0,0,0,0,0,0,0
MP1003-Q,Free,0,0,0,0,0,0,0,0
MP1003-S,Free,0,0,0,0,0,0,0,0
MP1003-SK,Free,0,0,0,0,0,0,0,0
MS1002-D,Free,0,0,0,0,0,0,0,0
MS1002-K,Free,0,0,0,0,0,0,0,0
MS1002-KS,Free,0,0,0,0,0,0,0,0
MS1003-D,Free,0,0,0,0,0,0,0,0
MS1003-K,Free,0,0,0,0,0,0,0,0
MS1003-KS,Free,0,0,0,0,0,0,0,0
MS1003-Q,Free,0,0,0,0,0,0,0,0
MS1003-S,Free,0,0,0,0,0,0,0,0
